Experiment,sample,Twitch_Peak_Volts,Species,experiment,Venom,Group
9/16/04,1,0.635,Gmouse,1,No,treatment
9/16/04,2,0.638,Gmouse,1,No,treatment
9/16/04,3,0.636,Gmouse,1,No,treatment
9/16/04,4,0.635,Gmouse,1,No,treatment
9/16/04,5,0.634,Gmouse,1,No,treatment
10/14/04,1,0.431,Gmouse,2,No,treatment
10/14/04,2,0.4345,Gmouse,2,No,treatment
10/14/04,3,0.4315,Gmouse,2,No,treatment
10/14/04,4,0.4305,Gmouse,2,No,treatment
10/14/04,5,0.426,Gmouse,2,No,treatment
10/21/04,1,0.499,Gmouse,3,No,treatment
10/21/04,2,0.497,Gmouse,3,No,treatment
10/21/04,3,0.49,Gmouse,3,No,treatment
10/21/04,4,0.488,Gmouse,3,No,treatment
10/21/04,5,0.49,Gmouse,3,No,treatment
5/13/05,1,0.345,Gmouse,4,No,treatment
5/13/05,2,0.342,Gmouse,4,No,treatment
5/13/05,3,0.3445,Gmouse,4,No,treatment
5/13/05,4,0.338,Gmouse,4,No,treatment
5/13/05,5,0.3115,Gmouse,4,No,treatment
5/17/05,1,0.748,Gmouse,5,No,treatment
5/17/05,2,0.8165,Gmouse,5,No,treatment
5/17/05,3,0.817,Gmouse,5,No,treatment
5/17/05,4,0.8135,Gmouse,5,No,treatment
5/17/05,5,0.8115,Gmouse,5,No,treatment
5/18/05,1,0.2795,Gmouse,6,No,treatment
5/18/05,2,0.307,Gmouse,6,No,treatment
5/18/05,3,0.314,Gmouse,6,No,treatment
5/18/05,4,0.305,Gmouse,6,No,treatment
5/18/05,5,0.3015,Gmouse,6,No,treatment
9/16/04,1,0.756,Mouse,1,No,treatment
9/16/04,2,0.757,Mouse,1,No,treatment
9/16/04,3,0.756,Mouse,1,No,treatment
9/16/04,4,0.757,Mouse,1,No,treatment
9/16/04,5,0.754,Mouse,1,No,treatment
10/14/04,1,0.584,Mouse,2,No,treatment
10/14/04,2,0.582,Mouse,2,No,treatment
10/14/04,3,0.583,Mouse,2,No,treatment
10/14/04,4,0.5805,Mouse,2,No,treatment
10/14/04,5,0.5655,Mouse,2,No,treatment
10/21/04,1,0.485,Mouse,3,No,treatment
10/21/04,2,0.4805,Mouse,3,No,treatment
10/21/04,3,0.4885,Mouse,3,No,treatment
10/21/04,4,0.4865,Mouse,3,No,treatment
10/21/04,5,0.496,Mouse,3,No,treatment
5/13/05,1,0.518,Mouse,4,No,treatment
5/13/05,2,0.5228,Mouse,4,No,treatment
5/13/05,3,0.5315,Mouse,4,No,treatment
5/13/05,4,0.5275,Mouse,4,No,treatment
5/13/05,5,0.553,Mouse,4,No,treatment
5/17/05,1,0.535,Mouse,5,No,treatment
5/17/05,2,0.5855,Mouse,5,No,treatment
5/17/05,3,0.57,Mouse,5,No,treatment
5/17/05,4,0.5535,Mouse,5,No,treatment
5/17/05,5,0.5535,Mouse,5,No,treatment
5/18/05,1,0.4235,Mouse,6,No,treatment
5/18/05,2,0.4335,Mouse,6,No,treatment
5/18/05,3,0.4215,Mouse,6,No,treatment
5/18/05,4,0.4115,Mouse,6,No,treatment
5/18/05,5,0.4115,Mouse,6,No,treatment
9/16/04,1,0.675,Gmouse,1,Yes,treatment
9/16/04,2,0.673,Gmouse,1,Yes,treatment
9/16/04,3,0.672,Gmouse,1,Yes,treatment
9/16/04,4,0.671,Gmouse,1,Yes,treatment
9/16/04,5,0.67,Gmouse,1,Yes,treatment
10/14/04,1,0.4235,Gmouse,2,Yes,treatment
10/14/04,2,0.42,Gmouse,2,Yes,treatment
10/14/04,3,0.418,Gmouse,2,Yes,treatment
10/14/04,4,0.42,Gmouse,2,Yes,treatment
10/14/04,5,0.43,Gmouse,2,Yes,treatment
10/21/04,1,0.5235,Gmouse,3,Yes,treatment
10/21/04,2,0.4985,Gmouse,3,Yes,treatment
10/21/04,3,0.513,Gmouse,3,Yes,treatment
10/21/04,4,0.5,Gmouse,3,Yes,treatment
10/21/04,5,0.514,Gmouse,3,Yes,treatment
5/13/05,1,0.1805,Gmouse,4,Yes,treatment
5/13/05,2,0.213,Gmouse,4,Yes,treatment
5/13/05,3,0.2025,Gmouse,4,Yes,treatment
5/13/05,4,0.191,Gmouse,4,Yes,treatment
5/13/05,5,0.193,Gmouse,4,Yes,treatment
5/17/05,1,0.628,Gmouse,5,Yes,treatment
5/17/05,2,0.6125,Gmouse,5,Yes,treatment
5/17/05,3,0.6095,Gmouse,5,Yes,treatment
5/17/05,4,0.5945,Gmouse,5,Yes,treatment
5/17/05,5,0.6225,Gmouse,5,Yes,treatment
5/18/05,1,0.272,Gmouse,6,Yes,treatment
5/18/05,2,0.268,Gmouse,6,Yes,treatment
5/18/05,3,0.268,Gmouse,6,Yes,treatment
5/18/05,4,0.2735,Gmouse,6,Yes,treatment
5/18/05,5,0.272,Gmouse,6,Yes,treatment
9/16/04,1,0.342,Mouse,1,Yes,treatment
9/16/04,2,0.316,Mouse,1,Yes,treatment
9/16/04,3,0.317,Mouse,1,Yes,treatment
9/16/04,4,0.305,Mouse,1,Yes,treatment
9/16/04,5,0.31,Mouse,1,Yes,treatment
10/14/04,1,0.0845,Mouse,2,Yes,treatment
10/14/04,2,0.083,Mouse,2,Yes,treatment
10/14/04,3,0.0885,Mouse,2,Yes,treatment
10/14/04,4,0.055,Mouse,2,Yes,treatment
10/14/04,5,0.0421,Mouse,2,Yes,treatment
10/21/04,1,0.124,Mouse,3,Yes,treatment
10/21/04,2,0.112,Mouse,3,Yes,treatment
10/21/04,3,0.111,Mouse,3,Yes,treatment
10/21/04,4,0.1015,Mouse,3,Yes,treatment
10/21/04,5,0.0985,Mouse,3,Yes,treatment
5/13/05,1,0.0075,Mouse,4,Yes,treatment
5/13/05,2,0,Mouse,4,Yes,treatment
5/13/05,3,0.004,Mouse,4,Yes,treatment
5/13/05,4,0.001,Mouse,4,Yes,treatment
5/13/05,5,0.0025,Mouse,4,Yes,treatment
5/17/05,1,0.0715,Mouse,5,Yes,treatment
5/17/05,2,0.0695,Mouse,5,Yes,treatment
5/17/05,3,0.0725,Mouse,5,Yes,treatment
5/17/05,4,0.0675,Mouse,5,Yes,treatment
5/17/05,5,0.0645,Mouse,5,Yes,treatment
5/18/05,1,0.0575,Mouse,6,Yes,treatment
5/18/05,2,0.0425,Mouse,6,Yes,treatment
5/18/05,3,0.04,Mouse,6,Yes,treatment
5/18/05,4,0.0345,Mouse,6,Yes,treatment
5/18/05,5,0.0355,Mouse,6,Yes,treatment